title,time,click,content
"
                    자유게시판 안내                                    ",05-18,10387,이 게시판의 운영은 @webus 님이 맡아 주실 예정입니다.주제에 상관 없이 자유롭게 글을 올릴 수 있습니다. 단 스팸이나 광고는 사절입니다.
"
                    신규 PUREBIT 거래소 사전가입 이벤트 참여하시고 최소 1만원 상당 코인 받아가세요…                                    ",12:25,6,추천링크 :백서 :
"
                    11월7일 신규오픈 붐비트 거래소 가입이벤트&사전채굴 하세요~~                                    ",11-04,28,추천링크 :UI도 깔끔하고 신규오픈까지 3일밖에 남지 않았습니다.자동채굴도 지원하니 한번 둘러보세요^^
"
                    신규 coinchase 거래소 가입하시고 $20 & CCH코인 받으세요~                                    ",10-31,167,추천링크 :백서 :회원 가입시 $20 해당하는 이더로 지급되며  추천을 받을시 거래소 상장 예정인 CCH코인을 지급받게 됩니다.거래소 한번 훑어보세요!^^
"
                    신규 마이닉스 거래소 가입하시고 MNX코인&이벤트 참여하세요~                                    ",10-31,121,마이닉스 거래소와 함께 합시다!추천링크 :
"
                    디시온(DSN) 에어드랍 받으세요!!(총 70달러)                                    ",10-27,240,회원가입 ->로그인 -> 이더지갑주소 입력 ->기대평 30자 이상 작성 -> 등록하기보상 : 100 DSN ($10)위 링크 클릭!!카카오로 이벤트 참여 하기 클릭 후 계정 연동이름 카카오 프로필 이름 전화번호 체크 후 다음 클릭디시온 공식 채팅방 가입하기 클릭!!친구초대 최대 5명 ( + 500 DSN)보상 : 100 + 500 DSN ($60)
"
                    벡사니엄  5천원 에어드랍(이미 코인원 인도네시아 상장)                                    ",10-24,216,ICO는 하드캡 달성으로 끝난 프로젝트이고 인도네시아 국민급으로 잘 알려진 (인도네시아에선...)코인입니당. 코인원 인도네시아에도 이미 상장됨..특징이라면 여기 CEO 대니씨가 이미 인도네시아에서 바우쳐 쿠폰 (한국 쿠팡 티몬같은) 사업을 크게 하고계시고여기 대표. 이런 배경을 기반으로 바우쳐 기프트 형식을 코인화하여 벡사니엄 코인의 개발배경이 되었습니다. 지금 인도네시아 쪽 KFC에서 벡사니엄으로 결제가 가능하도록 파트너쉽도 맺었고 지속적인 활성화 중입니다.이미 상장은 되어있고 인도네시아코인이다 보니 INDODAX라는곳에 상장되었고 내일 코인원 인도네시아에 상장됩니다.말로는 코인원 본사와도 직접적인 관계가 있어 본사차원에서도 이벤트를 열 계획에도 있다고 합니다.메인넷 런칭도 준비중이고 10월 25일날 일정발표 예정입니다.에어드랍 신청은 카톡방을 통해 진행해주세요:
"
                    KVX 거래소 TOK코인&사전가입 이벤트 참여하세요!!                                    ",10-23,242,- 서울대 &KAIST 출신으로 팀원 구성- 사전가입시거래소 토큰인 TOK 200개 지급 (선착순 5만명)- 추천받으면 40개 지급- 커뮤니티에 홍보하면 200개 지급-수익의를 거래소 수익 기여도에 따라 기여자에게로 에어드랍추천인 코드 :
"
                    EOS로 에어드랍+토큰 (크라우드포스 ICO)                                    ",10-17,325,
"
                    BITMETA(MET) 사전 가입 이벤트 - 거래소                                    ",10-16,235,
"
                    Waves 서울 커뮤니티 밋업 (10월11일, 구로디지털단지)                                    ",10-05,292,-------------------------------------꼬리말* 게시글시* 질문은 각 주제별 게시판에.비트코인 암호화화폐 커뮤니티 땡글~ 땡글~-------------------------------------
"
                    3초컷 크라우드포스 165개 에어드랍 초간단....                                    ",09-28,272,9월 23일부터 크라우드포스에서 에어드랍을 시작합니다.에어드랍은 165개 CRF를 ICO 종료후 지급합니다.크라우드포스는 모바일 기술과 여러 기관과 상업인들을 통합하여 개발도상국의 비지니스  은행 디지털 지갑  거래소 등을 활용화 하고자 합니다.참여방법은 그냥 텔레그램방 참여 후프로젝트에 관련된 글 작성하시면 끝입니다.에어드랍 신청서(구글):
